task,participation,start,resp,label,stim1_id,stim1_name
stimform1,devoted-caiman,2023-01-19T21:35:26.156Z,2023-01-19T21:35:45.977Z,"{""distance"":""0.71"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",78985f4d91620a9a70d72434f98a0e5a,shared0004_nsd03078
stimform1,devoted-caiman,2023-01-19T21:35:45.978Z,2023-01-19T21:36:00.973Z,"{""distance"":""0.57"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""red""}",505d63a185106bbc54d053bc9b31b66c,shared0404_nsd30396
stimform1,devoted-caiman,2023-01-19T21:36:00.974Z,2023-01-19T21:36:16.815Z,"{""distance"":""0.49"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""red""}",58e41d23492cee83048f7c030c6e2642,shared0300_nsd23994
stimform1,devoted-caiman,2023-01-19T21:36:16.816Z,2023-01-19T21:36:27.812Z,"{""distance"":""0.74"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",6728b6398a6009f4fc7cf052b0e70dd6,shared0960_nsd69814
stimform1,devoted-caiman,2023-01-19T21:36:27.813Z,2023-01-19T21:36:40.889Z,"{""distance"":""0.82"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",f962f2b7ef860a2b3841d5b193ce59e7,shared0764_nsd55679
stimform1,devoted-caiman,2023-01-19T21:36:40.890Z,2023-01-19T21:36:52.316Z,"{""distance"":""0.14"",""animacy"":""No"",""inoutdoors"":""Indoor"",""color"":""red""}",f20d00c99612b3661a55f5aea9c61f6f,shared0789_nsd56912
stimform1,devoted-caiman,2023-01-19T21:36:52.317Z,2023-01-19T21:37:07.111Z,"{""distance"":""0.46"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",02d93e5a984c48a4bf4cc8253d347755,shared0069_nsd06802
stimform1,devoted-caiman,2023-01-19T21:37:07.112Z,2023-01-19T21:37:16.903Z,"{""distance"":""0.16"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""red""}",76283abb9a9a23b00793d32ea2e87adc,shared0811_nsd59024
stimform1,devoted-caiman,2023-01-19T21:37:16.904Z,2023-01-19T21:37:37.694Z,"{""distance"":""0.12"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""blue""}",7617c55e26ca8cbb13f307dfff8a5c03,shared0733_nsd53371
stimform1,devoted-caiman,2023-01-19T21:37:37.695Z,2023-01-19T21:37:49.784Z,"{""distance"":""0.26"",""animacy"":""No"",""inoutdoors"":""Outdoor"",""color"":""blue""}",80c2c50f65d0c1e7e045a2adba179aa0,shared0727_nsd53053
stimform1,devoted-caiman,2023-01-19T21:37:49.785Z,2023-01-19T21:37:59.161Z,"{""distance"":""0.4"",""animacy"":""No"",""inoutdoors"":""Indoor"",""color"":""red""}",9ad3d29aa31a5535db6d1d8d4100725c,shared0197_nsd16617
stimform1,devoted-caiman,2023-01-19T21:37:59.161Z,2023-01-19T21:38:08.533Z,"{""distance"":""0.55"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",098bcd750a1b6d47ac3deef54e943a0a,shared0910_nsd66005
stimform1,devoted-caiman,2023-01-19T21:38:08.533Z,2023-01-19T21:38:16.544Z,"{""distance"":""0.26"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Indoor"",""color"":""red""}",fc5a9a63aca9b346ab830ea0c87284fc,shared0790_nsd56949
stimform1,devoted-caiman,2023-01-19T21:38:16.545Z,2023-01-19T21:38:26.864Z,"{""distance"":""1"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""green""}",08f92d3c170ff268800a50190ef30f02,shared0369_nsd28069
stimform1,devoted-caiman,2023-01-19T21:38:26.864Z,2023-01-19T21:38:37.111Z,"{""distance"":""0.72"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""red""}",12e489a0edf6dcba7542f0f667723092,shared0610_nsd44845
stimform1,devoted-caiman,2023-01-19T21:38:37.111Z,2023-01-19T21:38:48.512Z,"{""distance"":""0.36"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""blue""}",b40bd457647cd3918058c80dcd5ac443,shared0614_nsd45214
stimform1,devoted-caiman,2023-01-19T21:38:48.513Z,2023-01-19T21:38:56.652Z,"{""distance"":""0.61"",""animacy"":""Yes, animals/humans present"",""inoutdoors"":""Outdoor"",""color"":""blue""}",c1559146a72f485c6b839447fd95868e,shared0362_nsd27436
stimform1,devoted-caiman,2023-01-19T21:38:56.653Z,2023-01-19T21:39:06.028Z,"{""distance"":""0.87"",""animacy"":""No"",""inoutdoors"":""Outdoor"",""color"":""green""}",5e4b473abe419bc2a2e37cfd39a174a7,shared0896_nsd65254
