,boot_type,targeted_structure,noise_type,rdm_comparison,n_cell,n_subj,n_stim,n_repeat,finished
0,both,VISpm,eye,cosine,20,5,10,10,0
1,both,VISpm,eye,cosine,20,5,10,20,0
2,both,VISpm,eye,cosine,20,5,10,40,0
3,both,VISpm,eye,cosine,20,5,20,10,0
4,both,VISpm,eye,cosine,20,5,20,20,0
5,both,VISpm,eye,cosine,20,5,20,40,0
6,both,VISpm,eye,cosine,20,5,40,10,0
7,both,VISpm,eye,cosine,20,5,40,20,0
8,both,VISpm,eye,cosine,20,5,40,40,0
9,both,VISpm,eye,cosine,20,10,10,10,0
10,both,VISpm,eye,cosine,20,10,10,20,0
11,both,VISpm,eye,cosine,20,10,10,40,0
12,both,VISpm,eye,cosine,20,10,20,10,0
13,both,VISpm,eye,cosine,20,10,20,20,0
14,both,VISpm,eye,cosine,20,10,20,40,0
15,both,VISpm,eye,cosine,20,10,40,10,0
16,both,VISpm,eye,cosine,20,10,40,20,0
17,both,VISpm,eye,cosine,20,10,40,40,0
18,both,VISpm,eye,cosine,20,15,10,10,0
19,both,VISpm,eye,cosine,20,15,10,20,0
20,both,VISpm,eye,cosine,20,15,10,40,0
21,both,VISpm,eye,cosine,20,15,20,10,0
22,both,VISpm,eye,cosine,20,15,20,20,0
23,both,VISpm,eye,cosine,20,15,20,40,0
24,both,VISpm,eye,cosine,20,15,40,10,0
25,both,VISpm,eye,cosine,20,15,40,20,0
26,both,VISpm,eye,cosine,20,15,40,40,0
27,both,VISpm,eye,cosine,40,5,10,10,0
28,both,VISpm,eye,cosine,40,5,10,20,0
29,both,VISpm,eye,cosine,40,5,10,40,0
30,both,VISpm,eye,cosine,40,5,20,10,0
31,both,VISpm,eye,cosine,40,5,20,20,0
32,both,VISpm,eye,cosine,40,5,20,40,0
33,both,VISpm,eye,cosine,40,5,40,10,0
34,both,VISpm,eye,cosine,40,5,40,20,0
35,both,VISpm,eye,cosine,40,5,40,40,0
36,both,VISpm,eye,cosine,40,10,10,10,0
37,both,VISpm,eye,cosine,40,10,10,20,0
38,both,VISpm,eye,cosine,40,10,10,40,0
39,both,VISpm,eye,cosine,40,10,20,10,0
40,both,VISpm,eye,cosine,40,10,20,20,0
41,both,VISpm,eye,cosine,40,10,20,40,0
42,both,VISpm,eye,cosine,40,10,40,10,0
43,both,VISpm,eye,cosine,40,10,40,20,0
44,both,VISpm,eye,cosine,40,10,40,40,0
45,both,VISpm,eye,cosine,40,15,10,10,0
46,both,VISpm,eye,cosine,40,15,10,20,0
47,both,VISpm,eye,cosine,40,15,10,40,0
48,both,VISpm,eye,cosine,40,15,20,10,0
49,both,VISpm,eye,cosine,40,15,20,20,0
50,both,VISpm,eye,cosine,40,15,20,40,0
51,both,VISpm,eye,cosine,40,15,40,10,0
52,both,VISpm,eye,cosine,40,15,40,20,0
53,both,VISpm,eye,cosine,40,15,40,40,0
54,both,VISpm,eye,cosine,80,5,10,10,0
55,both,VISpm,eye,cosine,80,5,10,20,0
56,both,VISpm,eye,cosine,80,5,10,40,0
57,both,VISpm,eye,cosine,80,5,20,10,0
58,both,VISpm,eye,cosine,80,5,20,20,0
59,both,VISpm,eye,cosine,80,5,20,40,0
60,both,VISpm,eye,cosine,80,5,40,10,0
61,both,VISpm,eye,cosine,80,5,40,20,0
62,both,VISpm,eye,cosine,80,5,40,40,0
63,both,VISpm,eye,cosine,80,10,10,10,0
64,both,VISpm,eye,cosine,80,10,10,20,0
65,both,VISpm,eye,cosine,80,10,10,40,0
66,both,VISpm,eye,cosine,80,10,20,10,0
67,both,VISpm,eye,cosine,80,10,20,20,0
68,both,VISpm,eye,cosine,80,10,20,40,0
69,both,VISpm,eye,cosine,80,10,40,10,0
70,both,VISpm,eye,cosine,80,10,40,20,0
71,both,VISpm,eye,cosine,80,10,40,40,0
72,both,VISpm,eye,cosine,80,15,10,10,0
73,both,VISpm,eye,cosine,80,15,10,20,0
74,both,VISpm,eye,cosine,80,15,10,40,0
